rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0031.jpg,12.4,0.7793,0.7386,0.7,1.0,9,7,False,True
2,frame_0074.jpg,29.6,0.7776,0.7953,0.6,1.0,8,6,False,True
3,frame_0388.jpg,155.2,0.7412,0.8785,0.9,0.16,11,9,False,True
4,frame_0001.jpg,0.4,0.739,0.658,0.7,1.0,11,7,False,True
5,frame_0067.jpg,26.8,0.7307,0.7014,0.6,1.0,8,6,False,True
6,frame_0002.jpg,0.8,0.7288,0.6976,0.6,1.0,10,6,False,False
7,frame_0291.jpg,116.4,0.7256,0.6951,0.7,0.84,8,7,False,True
8,frame_0077.jpg,30.8,0.725,0.7379,0.6,0.88,9,6,False,False
9,frame_0075.jpg,30.0,0.7211,0.6982,0.6,0.96,7,6,False,False
10,frame_0073.jpg,29.2,0.7145,0.729,0.5,1.0,8,5,False,False
11,frame_0128.jpg,51.2,0.7097,0.7233,0.6,0.84,8,6,False,True
12,frame_0127.jpg,50.8,0.7053,0.7306,0.6,0.8,9,6,False,False
13,frame_0030.jpg,12.0,0.7037,0.5873,0.7,1.0,7,7,False,False
14,frame_0328.jpg,131.2,0.6989,0.8258,0.9,0.08,12,9,False,True
15,frame_0288.jpg,115.2,0.6925,0.737,0.6,0.72,8,6,False,False
16,frame_0069.jpg,27.6,0.692,0.804,0.3,1.0,7,3,False,False
17,frame_0377.jpg,150.8,0.6889,0.8499,0.8,0.12,10,8,False,True
18,frame_0129.jpg,51.6,0.6879,0.7237,0.5,0.88,8,5,False,False
19,frame_0010.jpg,4.0,0.6852,0.8504,0.2,1.0,2,2,False,True
20,frame_0015.jpg,6.0,0.6837,0.6674,0.5,1.0,6,5,False,True
21,frame_0072.jpg,28.8,0.6817,0.7234,0.4,1.0,8,4,False,False
22,frame_0375.jpg,150.0,0.6702,0.9004,0.6,0.2,10,6,False,False
23,frame_0276.jpg,110.4,0.6652,0.8143,0.7,0.24,10,7,False,True
24,frame_0071.jpg,28.4,0.6627,0.8054,0.2,1.0,6,2,False,False
25,frame_0000.jpg,0.0,0.6584,0.6169,0.5,1.0,8,5,False,False
26,frame_0079.jpg,31.6,0.6555,0.691,0.5,0.8,9,5,False,False
27,frame_0124.jpg,49.6,0.6554,0.7388,0.5,0.68,9,5,False,False
28,frame_0376.jpg,150.4,0.651,0.938,0.5,0.16,7,5,False,False
29,frame_0116.jpg,46.4,0.65,0.796,0.6,0.36,8,6,False,False
30,frame_0287.jpg,114.8,0.6496,0.7273,0.5,0.68,8,5,False,False
31,frame_0297.jpg,118.8,0.6481,0.6961,0.6,0.6,7,6,False,False
32,frame_0387.jpg,154.8,0.6459,0.7917,0.7,0.2,10,7,False,False
33,frame_0379.jpg,151.6,0.6453,0.6747,1.0,0.04,11,10,False,False
34,frame_0294.jpg,117.6,0.6442,0.8203,0.3,0.72,6,3,False,False
35,frame_0008.jpg,3.2,0.6381,0.6963,0.3,1.0,4,3,False,False
36,frame_0277.jpg,110.8,0.6328,0.7335,0.7,0.28,8,7,False,False
37,frame_0293.jpg,117.2,0.6325,0.721,0.4,0.76,6,4,False,False
38,frame_0114.jpg,45.6,0.6315,0.7909,0.6,0.28,7,6,False,False
39,frame_0329.jpg,131.6,0.6306,0.7492,0.8,0.08,13,8,False,False
40,frame_0029.jpg,11.6,0.6292,0.6184,0.4,1.0,8,4,False,False
41,frame_0229.jpg,91.6,0.6284,0.7448,0.8,0.08,10,8,False,False
42,frame_0330.jpg,132.0,0.6274,0.6988,0.9,0.04,10,9,False,False
43,frame_0292.jpg,116.8,0.6268,0.6935,0.4,0.8,9,4,False,False
44,frame_0126.jpg,50.4,0.6253,0.6466,0.5,0.76,8,5,False,False
45,frame_0004.jpg,1.6,0.6213,0.6025,0.4,1.0,8,4,False,False
46,frame_0284.jpg,113.6,0.6212,0.7785,0.4,0.56,5,4,False,False
47,frame_0278.jpg,111.2,0.6205,0.753,0.6,0.32,8,6,False,False
48,frame_0175.jpg,70.0,0.6185,0.7649,0.6,0.28,7,6,False,False
49,frame_0007.jpg,2.8,0.6174,0.5947,0.4,1.0,5,4,False,False
50,frame_0298.jpg,119.2,0.6164,0.7688,0.4,0.56,7,4,False,False
51,frame_0013.jpg,5.2,0.6154,0.5907,0.4,1.0,4,4,False,False
52,frame_0133.jpg,53.2,0.6128,0.5257,0.5,1.0,9,5,False,False
53,frame_0123.jpg,49.2,0.6127,0.6694,0.5,0.64,6,5,False,False
54,frame_0302.jpg,120.8,0.6109,0.6418,0.7,0.4,10,7,False,False
55,frame_0290.jpg,116.0,0.6104,0.6008,0.5,0.8,6,5,False,False
56,frame_0207.jpg,82.8,0.6094,0.6588,0.4,0.8,4,4,False,False
57,frame_0115.jpg,46.0,0.6081,0.6682,0.7,0.32,7,7,False,False
58,frame_0169.jpg,67.6,0.6056,0.7633,0.4,0.52,8,4,False,False
59,frame_0076.jpg,30.4,0.6043,0.6005,0.4,0.92,8,4,False,False
60,frame_0117.jpg,46.8,0.6014,0.6227,0.7,0.4,9,7,False,False
61,frame_0230.jpg,92.0,0.6014,0.7347,0.7,0.12,11,7,False,False
62,frame_0018.jpg,7.2,0.6008,0.5615,0.4,1.0,7,4,False,False
63,frame_0170.jpg,68.0,0.5993,0.6466,0.6,0.48,10,6,False,False
64,frame_0081.jpg,32.4,0.5978,0.6075,0.5,0.72,6,5,False,False
65,frame_0068.jpg,27.2,0.5977,0.5554,0.4,1.0,8,4,False,False
66,frame_0397.jpg,158.8,0.5945,0.8689,0.4,0.2,9,4,False,False
67,frame_0327.jpg,130.8,0.5942,0.8125,0.6,0.04,14,6,False,False
68,frame_0070.jpg,28.0,0.5936,0.7271,0.1,1.0,7,1,False,False
69,frame_0332.jpg,132.8,0.5869,0.8578,0.5,0.04,10,5,False,False
70,frame_0368.jpg,147.2,0.5835,0.731,0.7,0.04,9,7,False,False
71,frame_0005.jpg,2.0,0.5827,0.5254,0.4,1.0,8,4,False,False
72,frame_0301.jpg,120.4,0.5815,0.687,0.5,0.44,10,5,False,False
73,frame_0319.jpg,127.6,0.5813,0.6305,0.7,0.28,8,7,False,False
74,frame_0286.jpg,114.4,0.5809,0.7258,0.3,0.64,9,3,False,False
75,frame_0367.jpg,146.8,0.5798,0.6476,0.8,0.08,9,8,False,False
76,frame_0089.jpg,35.6,0.5794,0.6388,0.6,0.4,8,6,False,False
77,frame_0177.jpg,70.8,0.5778,0.7156,0.6,0.2,9,6,False,False
78,frame_0016.jpg,6.4,0.5775,0.4549,0.5,1.0,7,5,False,False
79,frame_0168.jpg,67.2,0.5764,0.6288,0.5,0.56,6,5,False,False
80,frame_0283.jpg,113.2,0.5721,0.6962,0.4,0.52,6,4,False,False
81,frame_0318.jpg,127.2,0.5707,0.6853,0.6,0.24,8,6,False,False
82,frame_0021.jpg,8.4,0.57,0.5,0.4,1.0,7,4,False,False
83,frame_0321.jpg,128.4,0.5689,0.7577,0.5,0.2,8,5,False,False
84,frame_0299.jpg,119.6,0.568,0.568,0.6,0.52,9,6,False,False
85,frame_0167.jpg,66.8,0.5675,0.595,0.5,0.6,6,5,False,False
86,frame_0106.jpg,42.4,0.567,0.758,0.6,0.04,8,6,False,False
87,frame_0378.jpg,151.2,0.5647,0.6774,0.7,0.08,10,7,False,False
88,frame_0370.jpg,148.0,0.5634,0.6307,0.8,0.04,11,8,False,False
89,frame_0003.jpg,1.2,0.5617,0.4835,0.4,1.0,8,4,False,False
90,frame_0088.jpg,35.2,0.5611,0.6463,0.5,0.44,9,5,False,False
91,frame_0131.jpg,52.4,0.5597,0.4954,0.4,0.96,5,4,False,False
92,frame_0386.jpg,154.4,0.5559,0.7157,0.5,0.24,9,5,False,False
93,frame_0280.jpg,112.0,0.5555,0.651,0.5,0.4,7,5,False,False
94,frame_0028.jpg,11.2,0.5552,0.4103,0.5,1.0,5,5,False,False
95,frame_0184.jpg,73.6,0.551,0.77,0.5,0.08,8,5,False,False
96,frame_0274.jpg,109.6,0.551,0.858,0.3,0.16,8,3,False,False
97,frame_0033.jpg,13.2,0.55,0.58,0.2,1.0,7,2,False,False
98,frame_0006.jpg,2.4,0.5499,0.5198,0.3,1.0,5,3,False,False
99,frame_0304.jpg,121.6,0.5478,0.7276,0.4,0.32,8,4,False,False
100,frame_0395.jpg,158.0,0.5472,0.6263,0.7,0.12,8,7,False,False
101,frame_0020.jpg,8.0,0.5464,0.5128,0.3,1.0,6,3,False,False
102,frame_0113.jpg,45.2,0.5425,0.629,0.6,0.24,7,6,False,False
103,frame_0384.jpg,153.6,0.5423,0.7206,0.5,0.16,8,5,False,False
104,frame_0179.jpg,71.6,0.5397,0.6114,0.7,0.12,10,7,False,False
105,frame_0120.jpg,48.0,0.5389,0.6898,0.3,0.52,6,3,False,False
106,frame_0231.jpg,92.4,0.5389,0.5937,0.7,0.16,9,7,False,False
107,frame_0086.jpg,34.4,0.5381,0.6281,0.4,0.52,5,4,False,False
108,frame_0085.jpg,34.0,0.5343,0.6047,0.4,0.56,7,4,False,False
109,frame_0306.jpg,122.4,0.5343,0.7325,0.4,0.24,9,4,False,False
110,frame_0017.jpg,6.8,0.5341,0.4282,0.4,1.0,5,4,False,False
111,frame_0193.jpg,77.2,0.5326,0.6093,0.6,0.24,7,6,False,False
112,frame_0132.jpg,52.8,0.5322,0.4844,0.3,1.0,6,3,False,False
113,frame_0125.jpg,50.0,0.5318,0.5357,0.4,0.72,8,4,False,False
114,frame_0333.jpg,133.2,0.5311,0.6702,0.6,0.08,10,6,False,False
115,frame_0188.jpg,75.2,0.5302,0.5643,0.8,0.04,10,8,False,False
116,frame_0300.jpg,120.0,0.5295,0.627,0.4,0.48,11,4,False,False
117,frame_0178.jpg,71.2,0.5281,0.6922,0.5,0.16,7,5,False,False
118,frame_0118.jpg,47.2,0.5275,0.519,0.6,0.44,8,6,False,False
119,frame_0275.jpg,110.0,0.5274,0.7948,0.3,0.2,9,3,False,False
120,frame_0232.jpg,92.8,0.5271,0.6142,0.6,0.2,9,6,False,False
121,frame_0014.jpg,5.6,0.5267,0.4734,0.3,1.0,6,3,False,False
